DP00007: P27695
DP00794: P50616
DP00796: P15382
DP00839: Q16186
DP00841: O14733
DP00846: O60888
DP00864: Q9BQ15
DP00865: Q6P3W2
DP00887: P21246
DP00907: Q9HB71-2
DP00912: Q8N4Q1
DP00917: P21583
DP00926: Q9BQB4
DP00930: P80723
DP00934: P61925
DP00937: Q12972
DP00949: Q9HAU5
DP00951: P17677
DP00959: O15169
DP00969: Q02548
DP01023: Q01101
DP01024: P27708
DP01054: Q76LA1
DP01063: Q9Y6C2
DP01068: Q9UBB5
DP01070: P42568
DP01097: P61244-2
DP01098: Q16222-2
DP01099: O00204-2
DP01100: P10636-8
DP01102: P35637
DP01103: Q13698
DP01106: P16471
DP01108: Q13148
DP01110: Q9UHD9
DP01111: Q13501
DP01114: P16333
DP01115: Q16236
DP01116: Q03164
DP01117: O60566
DP01118: Q12834
DP01123: P43403
DP01124: Q9Y261
DP01128: O43806
DP01131: O14558
DP01132: Q12778
DP01133: Q00987-11
DP01134: P10071
DP01137: Q6FI81
DP01149: Q14457
DP01156: P07305
DP01158: P06899
DP01159: A6NF83
DP01161: Q9UMS4
DP01162: Q96SD1
DP01163: O14974
DP01165: Q9HAN9
DP01170: O00268
DP01171: P42768
DP01172: O43516
DP01173: Q15726
DP01174: O43474
DP01203: O75807
DP01206: Q15797
DP01224: O43312
DP01228: Q9UMZ1
DP01236: P55735
DP01239: P20591
DP01244: O76074
DP01248: O95292
DP01253: P05386
DP01259: P41208
DP01262: P49848
DP01269: Q8NG31
DP01271: Q15691
DP01278: Q68DK7
DP01279: Q8N5Y2
DP01280: P05067
DP01284: P24928
DP01288: O43313
DP01292: P49768
DP01303: O14519
DP01306: Q03518
DP01310: Q8WUP2
DP01311: Q6NUK1
DP01312: Q9UMX1
DP01317: O60741
DP01324: Q9HCJ0
DP01326: Q9Y4P1
DP01333: O00522
DP01347: Q9UNL4
DP01361: P15927
DP01364: P62826
DP01396: P01130
DP01400: P45985
DP01404: Q92913
DP01425: Q15004
DP01426: P06400
DP01434: P31431
DP01435: O60829
DP01441: P14921
DP01445: P30260
DP01446: Q9Y239
DP01447: P30281
DP01450: Q9UKT4
DP01451: Q9UBU9
DP01453: Q8NHZ8
DP01454: P60006
DP01455: Q96DE5
DP01456: Q01081
DP01473: Q96GU1
DP01480: Q96FI4
DP01484: P04626
DP01486: P11912
DP01487: P40259
DP01489: Q9UBK2
DP01491: P22059
DP01493: P09429
DP01506: P08263
DP01507: Q9UQC2
DP01524: Q9UM11
DP01526: Q9UJX6
DP01533: Q9NS23-4
DP01537: O00429-3
DP01551: Q99523
DP01556: Q96GC6
DP01560: Q9UMR2
DP01561: P08235
DP01564: Q12905
DP01580: P06239
DP01588: P52799
DP01590: Q92945
DP01598: Q9BRG1
DP01602: Q86WV6
DP01603: Q96IZ0
DP01608: Q9Y6H6
DP01619: Q9NR28
DP01622: Q06609
DP01637: Q8NI22
DP01640: Q13351
DP01641: Q07955
DP01643: O75506
DP01644: P09038
DP01646: P35236
DP01654: P36578
DP01662: P55957
DP01668: P12081
DP01677: P06454
DP01700: P02549
DP01701: Q5VZK9
DP01704: P62318
DP01705: Q07666
DP01720: Q9NT62
DP01736: P52597
DP01738: P04271
DP01748: P05556
DP01750: P62877
DP01757: Q13029
DP01760: P37173
DP01768: P58753
DP01772: Q07912
DP01773: P98170
DP01781: O75112-6
DP01782: Q53GG5
DP01788: P98177
DP01795: Q9BUH6
DP01804: P53999
DP01835: O43715
DP01836: O14713
DP01841: P08514
DP01842: P05106
DP01844: Q92540
DP01845: Q13451
DP01848: P05107
DP01855: Q9NQC3-1
DP01857: P09012
DP01863: O75533
DP01869: P51587
DP01872: O95630
DP01873: Q99075
DP01874: O95149
DP01877: Q96AY2
DP01878: Q9UPR3
DP01880: Q15596
DP01883: P02655
DP01884: Q9UKT5
DP01898: O60885
DP01907: Q13568
DP01914: Q96RI1
DP01921: Q92900
DP01925: Q02078
DP01935: P83731
DP01938: P11021
DP01942: P50553
DP01951: P04083
DP01972: P13693
DP01976: P35520
DP01985: Q8TEK3
DP02000: O14745
DP02009: O75683
DP02013: P0DP23
DP02034: P62805
DP02069: P38919
DP02072: Q13415
DP02078: P02686-5
DP02094: P49427
DP02100: P60604
DP02142: Q2TAZ0
DP02148: Q676U5
DP02163: Q02388
DP02170: O15234
DP02171: P08621
DP02173: Q9BS26
DP02191: P51965
DP02192: O00571
DP02207: P02808
DP02210: Q03519
DP02224: P29375
DP02226: P24385
DP02234: P08476
DP02247: P10721
DP02251: P68363
DP02254: P14598
DP02267: Q8IVG9
DP02269: Q9Y6K9
DP02290: Q92905
DP02292: Q96PU5
DP02294: P63165
DP02301: Q71UI9
DP02302: Q15843
DP02303: Q0JRZ9
DP02309: Q96RF0
DP02327: Q00169
DP02332: Q9BUQ8
DP02333: P13861
DP02346: Q9BTL3
DP02348: Q8N5F7
DP02349: P51825
DP02361: O95429
DP02365: Q13464
DP02368: P29536
DP02381: O60706-2
DP02393: Q8IZD2
DP02398: Q04637
DP02399: P06730
DP02404: Q96N21
DP02405: Q8IYW5
DP02408: Q9P2K3-3
DP02413: P04198
DP02415: P54274
DP02418: P35568
DP02420: Q86YV5
DP02427: Q9BVI0
DP02428: Q5T4W7
DP02431: P15391
DP02445: Q96RS0
DP02446: Q8IU57
DP02449: Q15583
DP02452: Q8TEA8
DP02455: Q9UKX7
DP02458: P17181
DP02467: P51617
DP02471: Q96G97
DP02475: Q86UE8
DP02477: Q01970
DP02523: Q9UKL0
DP02531: S6B291
DP02532: Q07866
DP02543: Q9NUM4
DP02545: P07948
DP02546: P16070
DP02547: Q9Y6G9
DP02551: Q8NBP7
DP02555: Q15109
DP02558: Q9NP70
DP02559: Q969R2
DP02567: P01266
DP02571: P80192
DP02585: Q9H900
DP02591: P78362
DP02595: P25490
DP02599: Q86VN1
DP02604: P20020-1
DP02605: P02533
DP02607: Q9UNA0
DP02609: Q96PY5
DP02615: O75817
DP02620: Q14194
DP02627: Q8TEP8
DP02628: O94986
DP02630: O14958
DP02632: P31321
DP02637: P07237
DP02647: O95278
DP02649: P01023
DP02656: P08294
DP02661: Q6ZVN8
DP02665: Q9Y5C1
DP02670: P15848
DP02673: P11926
DP02674: P54368
DP02675: O14977
DP02676: Q9HD36
DP02680: P23280
DP02692: Q6R327
DP02694: Q8WUN7
DP02697: Q02363
DP02699: Q6V1X1
DP02702: Q14995
DP02703: O00411
DP02704: P41214
DP02705: P45379
DP02706: Q9NXV2
DP02712: Q9H3P2
DP02713: P18615
DP02724: Q13838
DP02727: Q13526
DP02728: P42166
DP02735: P07355
DP02737: Q9NWW9
DP02742: P06756
DP02744: Q92574
DP02747: Q9GZN7
DP02748: P36871
DP02753: Q13617
DP02757: Q9GZU1
DP02758: Q13563
DP02764: Q13162
DP02765: Q14118
DP02770: P01127
DP02781: Q9UPY3
DP02782: Q9NPI8
DP02783: P49189
DP02798: P23771
DP02803: Q96Q11
DP02812: A6NI73
DP02825: P31153
DP02829: P46379
DP02832: Q7L2J0
DP02834: Q9Y2Z0
DP02835: Q14849
DP02850: O60239
DP02851: Q5FWF5
DP02854: Q9BYF1
DP02855: P11166
DP02858: P18206-2
DP02860: P55211
DP02869: Q16630
DP02881: Q09428
DP02885: Q10589
DP02894: Q9BZZ5-2
DP02895: Q96E14
DP02904: Q8NBI3
DP02911: Q8N3V7
DP02915: P48443
DP02918: P17947
DP02921: P26368
DP02922: P01215
DP02930: Q9Y6I3
DP02957: P47992
DP02971: Q5JRX3
DP02975: P06734
DP02976: Q05193
DP02978: Q9BSQ5
DP02981: P04275
DP03004: P58004
DP03005: Q53TN4
DP03006: O95843
DP03010: Q5D1E8
DP03011: P51787
DP03012: P40818
DP03016: P11274
DP03035: P35269
DP03039: Q00653
DP03059: Q15059
DP03061: P54132
DP03063: Q9BRZ2
DP03070: Q8TEQ6
DP03071: Q92499
DP03072: P53420
DP03074: O60825
DP03075: Q9H3M7
DP03081: P0DJI8
DP03088: Q9BV68
DP03092: O00308
DP03098: P02774
DP03100: Q14258
DP03101: O15344
DP03104: P29590
DP03108: P15374
DP03109: Q9BYI3
DP03113: Q6ZNA4
DP03114: Q86TV6
DP03115: Q6P4R8
DP03116: O95155
DP03118: P30793
DP03120: Q9HC77
DP03123: Q9BRX5
DP03124: O95835
DP03125: O14965
DP03134: Q9NPF0
DP03135: P35680
DP03142: Q16667
DP03148: P41227
DP03149: Q9BXJ9
DP03150: Q99598
DP03151: Q13363
DP03152: P42574
DP03153: Q658P3
DP03161: Q8WVQ1
DP03163: O15247
DP03164: Q9Y696
DP03166: P00519
DP03168: P00519-2
DP03171: Q16831
DP03172: Q9NRN7
DP03173: O14727
DP03179: O95391
DP03185: O75223
DP03186: P28325
DP03187: P43250
DP03190: P49257
DP03192: Q15013
DP03195: Q9HAV4
DP03196: Q8N1Q8
DP03201: Q96CV9
DP03204: Q16629
DP03205: O95696
DP03209: A6ND01
DP03211: Q9BRT9
DP03214: O60508
DP03216: Q96EQ8
DP03223: P33316-2
DP03232: Q7KZF4
DP03233: Q92900-2
DP03234: P49915
DP03235: P50148
DP03236: Q9UDY8
DP03237: Q9BZE9
DP03242: P23588
DP03243: Q68D10
DP03245: Q9UQ35
DP03246: O75475
DP03248: Q9NYV4
DP03249: Q96RJ3
DP03251: Q8N300
DP03254: P52848
DP03255: P16035
DP03257: P03956
DP03271: P21580
DP03272: Q6GQQ9
DP03273: Q99835
DP03274: Q9Y4K0
DP03275: Q15276
DP03278: P18065
DP03279: Q08188
DP03281: Q2MKA7
DP03291: Q9UK55
DP03297: P01034
DP03299: P00734
DP03301: P09237
DP03303: Q8IW75
DP03304: P36952
DP03306: Q02297
DP03313: P00488
DP03343: Q9HCB6
DP03345: O00214
DP03348: Q5T1C6
DP03358: Q92743
DP03364: Q15582
DP03378: P20849
DP03382: P98066
DP03383: Q8WVM7
DP03385: P20592
DP03387: Q9Y237-1
DP03389: Q9UBT3
DP03394: O60493
DP03399: P60484-2
DP03400: Q9H4L7
DP03404: P56211
DP03407: P51397
DP03417: P10997
DP03424: P80303
DP03427: P31327
DP03444: Q9UPP1
DP03446: Q9NR48
DP03447: Q13177
DP03448: P56524
DP03453: P51513
DP03454: Q9UBP0
DP03459: Q15542
DP03487: Q9GZZ9
DP03488: P43026
DP03499: Q04637-8
DP03514: O75056
DP03515: P31431-2
DP03531: P49789
DP03532: Q68J44
DP03554: Q9UKK9
DP03556: P35813
DP03588: Q96C86
DP03594: P50579
DP03624: Q6ZMT4
DP03626: O15054
DP03635: P81605
DP03637: Q8NC51
DP03645: Q9Y4D1
DP03649: Q9UQ80
DP03654: P63104
DP03659: Q14318
DP03660: A0A5F9ZHA1
DP03661: Q9BY41
DP03666: Q12983
DP03669: Q4LE39
DP03670: P56962
DP03680: P49023
DP03681: P55285
DP03687: O00410
DP03692: P07550
DP03693: P01732
DP03700: Q9H9R9
DP03701: Q9HBA0
DP03703: Q8N660
DP03704: A0A1B0GTR3
DP03706: Q13480
DP03713: Q9H0E2
DP03719: O15392
DP03730: Q13627
DP03733: Q9Y5S1
DP03734: Q8NET8
DP03737: Q8NE35-2
DP03739: P24588
DP03743: Q96QZ7
DP03755: A0A090N8E9
DP03805: Q15858
DP03811: Q00266
DP03816: Q99986
DP03817: P42658
DP03820: P26196
DP03821: Q9UL18
DP03823: P55011
DP03830: Q9Y5P4
DP03832: Q16740
DP03835: P14868
DP03836: Q6PI48
DP03837: P49366
DP03838: O00548
DP03839: Q92785
DP03841: P07814
DP03842: P37268
DP03843: Q9BYC5
DP03847: O94925
DP03848: Q9NQX3
DP03849: P00492
DP03854: Q99714
DP03860: P01116
DP03861: P36776
DP03862: P21397
DP03864: P28482
DP03865: O95822
DP03867: Q9Y4U1
DP03868: Q9H3L0
DP03869: P22033
DP03872: O75970
DP03874: P42345
DP03875: Q92913-2
DP03876: Q9UBK8
DP03878: Q15233
DP03884: O96028
DP03889: Q16625
DP03890: Q01968
DP03891: O15294
DP03892: P00439
DP03894: O75151
DP03896: Q13635
DP03917: Q14011
DP03919: O15151
DP03922: Q13586
DP03926: P81274
DP03944: P19525
DP03945: Q16620
DP03955: P33897
DP03956: O14678
DP03958: O96019
DP03959: Q9Y653
DP03960: P55263
DP03962: P30566
DP03963: O95831
DP03965: P30038
DP03966: P49419
DP03968: Q01433
DP03969: Q9H1A4
DP03970: Q9NW15
DP03971: Q10567
DP03975: P14867
DP03977: P18507
DP03991: Q9UN86
DP04067: Q9H078
DP04070: Q96F81
DP04074: Q9Y6X9
DP04076: P35790
DP04077: Q9UQ13
DP04081: Q9UIW2
DP04082: Q9NXG6
DP04086: P54577
DP04093: P30531
DP04095: P49758
DP04100: O00584
DP04107: O95470
DP04108: P52306-2
DP04109: Q15326
DP04111: Q96C36
DP04117: Q8N3I7
DP04119: Q01105-2
DP04123: Q5HYA8
DP04135: Q92800
DP04137: O43561-2
DP00111: P27577
DP00142: P14602
DP00181: P08775
DP00291: Q9QXT8
DP00335: Q64364
DP00340: P62965
DP00341: Q02248
DP00384: P63158
DP00397: Q9ES89
DP00435: Q01853
DP00446: O35718
DP00491: Q62165
DP00541: Q91V27
DP00564: Q6P8Z1
DP00587: Q9CQK7
DP00645: Q91ZE9
DP00646: Q01231
DP00655: P59113
DP00708: O35613
DP00734: O08785
DP00742: Q99LM3
DP00836: P01139
DP00968: Q60795
DP00974: P42866
DP01101: P04370-5
DP01183: Q9R224
DP01304: Q99LJ8
DP01315: Q9QWH1
DP01316: P25916
DP01397: Q9Z0P7
DP01492: Q01097
DP01541: Q9DBZ9
DP01548: Q8CJF7
DP01562: Q9Z1X4
DP01563: Q9CXY6
DP01578: P41969
DP01594: Q80ZV0
DP01645: P20239
DP01667: Q548Y4
DP01752: Q60598
DP01774: O54928
DP01794: Q99ML1
DP01879: Q9JIH2
DP01944: P31324
DP01993: Q80VP1
DP02258: Q9JLC3
DP02296: P60761
DP02342: P06837
DP02369: Q00780
DP02371: O08583
DP02376: Q4ACU6
DP02387: P70429
DP02412: O88513
DP02423: Q5RJI5
DP02478: Q6SJQ7
DP02517: Q64487-12
DP02534: O70201
DP02573: Q8VEL9
DP02579: Q8VDQ1
DP02586: P10761
DP02593: Q9ESJ0
DP02613: Q8K368
DP02621: P97427
DP02625: Q920Q2
DP02626: Q9QUG2
DP02635: Q9ERE3
DP02636: O88393
DP02638: Q6ZPF4
DP02672: O35484
DP02679: Q8R464
DP02681: B8ZXI1
DP02683: Q9DBG5
DP02756: P21447
DP02790: Q8BTI9
DP02791: O08908
DP02792: P42337
DP02800: P63028
DP02802: Q921Z5
DP02805: Q91WA6
DP02811: Q8K419
DP02817: Q64373
DP02819: Q62420
DP02820: Q62264
DP02853: Q99P68
DP02874: Q61033
DP02896: Q91VS8
DP02898: P35585
DP03007: P97784
DP03014: P62137
DP03067: Q07475
DP03127: Q9R194
DP03156: P11859
DP03174: Q3UKX1
DP03177: Q8CJ26
DP03197: P41209
DP03277: Q61001
DP03305: Q60675
DP03310: Q3U4G3
DP03368: P38532-2
DP03411: Q61081
DP03420: Q7TMK9
DP03625: Q5NCY0
DP03695: P70365
DP03735: Q9ET78
DP00474: Q43125
DP00606: P42759
DP00609: O81283
DP00654: Q9ZPI5
DP00662: Q8LBP4
DP00667: P42763
DP00689: P30185
DP00916: Q8GY31
DP01057: Q42512
DP01085: Q9SKI4
DP01121: Q38825
DP01299: Q96273
DP01300: Q9SLJ2
DP01467: Q9SP32
DP01543: P84634
DP01545: M5BF30
DP01858: Q96270
DP02066: Q9FG31
DP02209: O82132
DP02380: O23661
DP02392: Q9ZVD0
DP02550: Q8VY98
DP02575: P83755
DP02576: P56777
DP02577: P23321
DP02597: O49195
DP02631: Q39026
DP02640: Q4F883
DP02641: Q8GY88
DP02642: P53780
DP02644: Q9SUM3
DP02696: Q9FLN8
DP02726: Q42521
DP02919: Q9SQK3
DP02920: Q05753
DP02966: Q9SU24
DP02969: O80837
DP03093: Q9SSN3
DP03096: O04147
DP03110: Q9FIX2
DP03136: F4IED2
DP03137: Q9LUA9
DP03139: Q4VP08
DP03263: O80358
DP03265: O48963
DP03266: Q9M658
DP03268: Q682I1
DP03270: Q00958
DP03282: Q8L3W1
DP03285: Q8H1D4
DP03325: Q9SZF7
DP03648: Q9SL42
DP03652: Q9LTJ1
DP03653: Q1ECR9
DP03674: Q9S7A9
DP03675: F4K4L7
DP01113: D0PV95
DP01407: O61667
DP01436: P54936
DP01973: Q09514
DP02025: P30429
DP02377: Q9GRZ3
DP02378: Q09260
DP02799: P34257
DP02982: O01479
DP02988: P34704
DP02989: Q03611
DP02990: Q9U489
DP02991: Q9XTW2
DP02999: P34808
DP03049: Q18235
DP03050: G5ED39
DP03054: P91870
DP03057: Q20728
DP03090: Q20363
DP03102: O44326
DP03107: Q23229
DP03217: Q9XWG3
DP03218: O76463
DP03219: Q9U3N4
DP03318: Q95ZK7
DP03319: O17087
DP03322: Q94218-2
DP03334: P90947
DP03340: O62479
DP03472: Q09535
DP00081: P51123
DP00269: Q24298
DP00344: P62152
DP00346: P07140
DP00605: Q24246
DP00623: P83949
DP00721: Q8IRG6
DP00811: Q9V452
DP01122: Q27934
DP01250: P02283
DP01433: P04052
DP01494: Q9VMA3
DP01495: P08510
DP01497: Q9NK80
DP01546: P84051
DP01870: P84040
DP02149: Q24570
DP02312: Q8T9B6
DP02384: P82804
DP02460: Q23985
DP02556: P09077
DP02662: Q9VXJ0
DP02711: Q9V6K1
DP02763: Q9VI75
DP02836: P24785
DP02866: A1Z9S6
DP02890: Q7K5N4
DP03066: O16043
DP03083: Q9VNE4
DP03483: P05661
DP03708: Q8IGP5
DP03744: Q9VVJ7
DP04061: P29617
DP00089: P0ABJ1
DP00103: P09372
DP00107: P69924
DP00147: P0A7U3
DP00161: P77173
DP00194: P0AFZ3
DP00197: P0A707
DP00207: P21513
DP00299: P0AE70
DP00349: P06709
DP00377: P45577
DP00422: P0A6R3
DP00429: P32170
DP00516: P60472
DP00600: P60723
DP00626: P0AG11
DP00766: P0A9K9
DP00790: P08245
DP00896: P10121
DP00970: P0ABD8
DP00991: P0AAC0
DP01050: P0A6X3
DP01177: P0AE98
DP01291: P0AE72
DP01339: P0A903
DP01488: P69346
DP01650: P0A7K2
DP01735: P80644
DP01740: P68688
DP01881: P0C077
DP01920: P77522
DP01965: P0CE48
DP02011: P32684
DP02127: P0AG30
DP02169: P37028
DP02197: P0ADV9
DP02201: P0A9A6
DP02271: P29131
DP02484: P0AD27
DP02537: P30130
DP02548: P0AES9
DP02700: P0A8S9
DP02715: P00452
DP02716: P0A873
DP02740: P08179
DP02750: P17109
DP02760: P76216
DP02787: P45523
DP02827: P22523
DP02899: P23873
DP02900: P0A968
DP02923: P33128
DP02985: P0A6Y8
DP03060: P60340
DP03091: P0AG86
DP03193: P16869
DP03213: P69411
DP03240: P0A8Q6
DP03289: P0ACG8
DP03316: P06149
DP03326: P39286
DP03329: P0AG67
DP03331: P0A8N3
DP03333: P0AFF6
DP03337: P0A9H7
DP03341: P0A9D4
DP03406: P0A7G2
DP03440: P04968
DP03445: P0C066
DP03449: P10902
DP03458: P0DMC7
DP03495: P63883
DP03501: P0AFD1
DP03631: P0A9J4
DP03662: P0AB71
DP03852: P0ABK7
DP00031: P13255
DP00049: P70475
DP00068: P60881
DP00094: P04177
DP00136: P15865
DP00251: O88339
DP00455: P84092
DP00463: Q9Z0U4
DP00490: O88900
DP00527: P02783
DP00620: Q68FT9
DP00622: P63045
DP00940: Q62627
DP01083: Q7TP21
DP01139: A0A0G2JXC5
DP01141: P70604
DP01202: O55000
DP01499: Q9JI51
DP01501: G3V7P1
DP01555: Q9EPU7
DP01557: P27682
DP01851: P10686
DP01887: P08592
DP01937: Q9EPH0
DP01958: Q63450
DP01994: P27321
DP02535: Q8R4T5
DP02617: P21575
DP02624: P04775
DP02646: P23457
DP02653: P61765
DP02657: O88483
DP02739: P45352
DP02741: P09951
DP02793: Q63716
DP02887: P62944
DP02986: P63018
DP03052: Q06486
DP03080: Q9Z214
DP03129: O08679
DP03227: P15205
DP03347: P10824
DP03354: P63144
DP03477: Q5GH54
DP03492: Q8R426-2
DP03507: Q9ERC1
DP00082: P39935
DP00104: P32773
DP00135: P10961
DP00163: Q03768
DP00164: P05318
DP00179: P01094
DP00256: P40316
DP00277: Q12287
DP00398: P07342
DP00432: P11632
DP00475: Q6Q547
DP00482: Q08826
DP00533: P06701
DP00557: Q00955
DP00625: P45976
DP00687: P08067
DP00705: P22943
DP00771: P20435
DP00818: P40422
DP00853: P00127
DP00874: Q12406
DP00958: P46984
DP00995: P01097
DP01014: O94742
DP01077: P14907
DP01078: P40477
DP01079: P40517
DP01136: P22470
DP01185: P46669
DP01195: P39007
DP01196: P48439
DP01237: P36100
DP01243: P25638
DP01330: P32639
DP01401: P47093
DP01430: Q03071
DP01485: P40161
DP01502: P33328
DP01503: P32867
DP01511: P32917
DP01513: P53378
DP01516: Q06810
DP01579: P34233
DP01584: P19880
DP01599: P47142
DP01604: Q12483
DP01606: Q06208
DP01611: Q06696
DP01628: P14736
DP01629: P32628
DP01775: P53632
DP01825: P25644
DP01867: P47047
DP02050: P41814
DP02055: P33322
DP02073: P33411
DP02097: P27472
DP02124: Q03281
DP02144: P32337
DP02145: P47054
DP02155: P49687
DP02157: P35729
DP02158: P36161
DP02159: P32566
DP02195: P53136
DP02220: P32521
DP02227: Q02821
DP02249: P38862
DP02264: Q12306
DP02326: Q05776
DP02355: P36080
DP02395: P35201
DP02448: Q03707
DP02464: Q12476
DP02466: Q12432
DP02470: Q12495
DP02474: Q12000
DP02476: P36106
DP02480: Q12102
DP02481: P46674
DP02513: Q05022
DP02527: P04050
DP02544: Q04410
DP02671: P38111
DP02721: P32357
DP02722: P33334
DP02736: Q04049
DP02752: P46951
DP02769: P06782
DP02784: P16892
DP02806: P0CY08
DP02809: P53193
DP02847: P47110
DP02848: P15436
DP02908: P53853
DP03226: P30771
DP03494: Q04087
DP03496: P22515
DP03548: P05453
DP03591: P38238
DP03595: P53254
DP03597: P02994
DP03620: Q12051
DP03621: P04807
DP03633: P36421
DP03684: P40458
DP03689: P07250
DP03715: Q02948
DP03716: P22219
DP03717: P22543
DP03718: Q05919
