DP00007: P27695
DP03254: P52848
DP03255: P16035
DP03257: P03956
DP03259: P13674
DP03260: O60568
DP03262: P01009
DP03272: Q6GQQ9
DP03279: Q08188
DP03281: Q2MKA7
DP03292: P00742
DP03296: P60484
DP03299: P00734
DP03303: Q8IW75
DP03307: Q9UMD9
DP03308: Q96MS0
DP03309: O60486
DP03311: P00740
DP03312: P10619
DP03314: Q06141
DP03324: P35052
DP03343: Q9HCB6
DP03345: O00214
DP03351: P23677
DP03358: Q92743
DP03364: Q15582
DP03365: P27469
DP03366: P53778
DP03369: O15391
DP03372: P04554
DP03379: Q14766
DP03380: P83110
DP03382: P98066
DP03383: Q8WVM7
DP03385: P20592
DP03386: Q9Y237-2
DP03387: Q9Y237-1
DP03389: Q9UBT3
DP03394: O60493
DP03400: Q9H4L7
DP03403: Q8WXS3-1
DP03404: P56211
DP03405: P56211-2
DP03417: P10997
DP03418: Q96PU8-9
DP03424: P80303
DP03427: P31327
DP03437: Q9H9B1
DP03446: Q9NR48
DP03447: Q13177
DP03451: P21675
DP03452: Q6P1X5
DP03453: P51513
DP03455: O00189
DP03456: P27635
DP03459: Q15542
DP03490: P18075
DP03510: P49753
DP03512: P18827
DP03513: P34741
DP03514: O75056
DP03532: Q68J44
DP03533: O95147
DP03553: O94829
DP03554: Q9UKK9
DP03556: P35813
DP03588: Q96C86
DP03594: P50579
DP03619: Q9NZD4
DP03622: Q12962
DP03624: Q6ZMT4
DP03626: O15054
DP03627: O15550
DP03628: P52732
DP03635: P81605
DP03645: Q9Y4D1
DP03650: Q01484
DP03654: P63104
DP03659: Q14318
DP03660: A0A5F9ZHA1
DP03661: Q9BY41
DP03666: Q12983
DP03670: P56962
DP03672: O95197
DP03680: P49023
DP03681: P55285
DP03682: Q13043
DP03683: Q13137
DP03687: O00410
DP03688: Q6DD88
DP03692: P07550
DP03693: P01732
DP03694: Q8IY63
DP03700: Q9H9R9
DP03701: Q9HBA0
DP03711: Q9BXW4
DP03713: Q9H0E2
DP03719: O15392
DP03729: Q8IYT8
DP03731: Q9UHK0
DP03733: Q9Y5S1
DP03734: Q8NET8
DP03737: Q8NE35-2
DP03739: P24588
DP03743: Q96QZ7
DP03755: A0A090N8E9
DP03805: Q15858
DP03811: Q00266
DP03816: Q99986
DP03822: P78563
DP03823: P55011
DP03825: P15056
DP03829: Q00534
DP03832: Q16740
DP03834: A4D126
DP03835: P14868
DP03836: Q6PI48
DP03837: P49366
DP03845: P07902
DP03847: O94925
DP03848: Q9NQX3
DP03849: P00492
DP03854: Q99714
DP03856: P35475
DP03857: P05019
DP03859: Q2M1P5
DP03860: P01116
DP03861: P36776
DP03863: O43318
DP03867: Q9Y4U1
DP03868: Q9H3L0
DP03869: P22033
DP03875: Q92913-2
DP03876: Q9UBK8
DP03877: O43776
DP03881: O15118
DP03884: O96028
DP03885: P49902
DP03891: O15294
DP03894: O75151
DP03896: Q13635
DP03908: P84243
DP03917: Q14011
DP03919: O15151
DP03926: P81274
DP03928: Q7RTN6
DP03944: P19525
DP03946: Q9Y6K1
DP03952: Q13224
DP03955: P33897
DP03956: O14678
DP03957: P60709
DP03960: P55263
DP03961: Q9NX46
DP03962: P30566
DP03963: O95831
DP03964: P47895
DP03965: P30038
DP03966: P49419
DP03970: Q9NW15
DP03975: P14867
DP03976: P28472
DP03977: P18507
DP04070: Q96F81
DP04077: Q9UQ13
DP04080: Q9ULK4
DP04081: Q9UIW2
DP04082: Q9NXG6
DP04093: P30531
DP04094: P35219
DP04098: P49802
DP04101: Q9H0W8
DP04104: Q9NRA2
DP04108: P52306-2
DP04109: Q15326
DP04111: Q96C36
DP04115: Q96RK4
DP04116: A8MTZ0
DP04117: Q8N3I7
DP04120: O14775
DP04123: Q5HYA8
DP04129: P42858
DP04135: Q92800
DP04137: O43561-2
DP00008: Q64693
DP00111: P27577
DP00129: Q04207
DP00142: P14602
DP00291: Q9QXT8
DP00335: Q64364
DP00340: P62965
DP00341: Q02248
DP00348: P45481
DP00384: P63158
DP00397: Q9ES89
DP00435: Q01853
DP00462: P11157
DP00564: Q6P8Z1
DP00655: P59113
DP00661: Q9CX60
DP00708: O35613
DP00742: Q99LM3
DP00815: Q9DCL8
DP00836: P01139
DP00968: Q60795
DP00974: P42866
DP01022: Q6URW6
DP01073: Q61548
DP01183: Q9R224
DP01190: Q9WUP7-2
DP01281: Q9JM54
DP01304: Q99LJ8
DP01316: P25916
DP01323: Q8R316
DP01492: Q01097
DP01562: Q9Z1X4
DP01592: Q8VHC5
DP01612: O88597
DP01752: Q60598
DP01794: Q99ML1
DP01879: Q9JIH2
DP01993: Q80VP1
DP01999: Q8K4J6
DP02001: O08807
DP02151: Q925J9
DP02314: Q9ERE7
DP02410: P21952
DP02412: O88513
DP02426: Q80VW5
DP02451: P46938
DP02456: O35625
DP02478: Q6SJQ7
DP02517: Q64487-12
DP02528: Q80UG2
DP02534: O70201
DP02542: P39061
DP02569: Q8R1S4
DP02570: Q8BPB0
DP02573: Q8VEL9
DP02579: Q8VDQ1
DP02625: Q920Q2
DP02626: Q9QUG2
DP02635: Q9ERE3
DP02636: O88393
DP02638: Q6ZPF4
DP02659: Q91ZW2
DP02672: O35484
DP02681: B8ZXI1
DP02683: Q9DBG5
DP02695: Q9JIP3
DP02723: Q8VDP3
DP02756: P21447
DP02791: O08908
DP02800: P63028
DP02802: Q921Z5
DP02805: Q91WA6
DP02810: P02469
DP02811: Q8K419
DP02817: Q64373
DP02820: Q62264
DP02830: Q91YD9
DP02837: Q9QXN5
DP02853: Q99P68
DP02864: P83917
DP02870: P22893
DP02873: P97465
DP02882: Q6A070
DP02892: Q3UND0
DP02896: Q91VS8
DP02956: O70200
DP03014: P62137
DP03043: Q9JJW6
DP03067: Q07475
DP03082: P05367
DP03156: P11859
DP03174: Q3UKX1
DP03177: Q8CJ26
DP03197: P41209
DP03198: P62696
DP03277: Q61001
DP03367: Q61585
DP03381: P63277-2
DP03409: Q61937
DP03411: Q61081
DP03420: Q7TMK9
DP03555: Q8K310
DP03625: Q5NCY0
DP03695: P70365
DP00434: Q9SQZ9
DP00469: O24646
DP00606: P42759
DP00654: Q9ZPI5
DP00657: P31168
DP00724: Q9LQT8
DP01058: Q9SIN5
DP01085: Q9SKI4
DP01180: Q8RY59
DP01300: Q9SLJ2
DP01355: P46014
DP01467: Q9SP32
DP01776: Q8GYN5
DP01858: Q96270
DP02066: Q9FG31
DP02209: O82132
DP02225: Q9SQQ6
DP02341: A0A178W0D3
DP02392: Q9ZVD0
DP02549: O82775
DP02575: P83755
DP02576: P56777
DP02577: P23321
DP02641: Q8GY88
DP02642: P53780
DP02643: Q9MAB9
DP02644: Q9SUM3
DP02648: Q8GXX0
DP02660: Q9SKB2
DP02690: F4JL28
DP02696: Q9FLN8
DP02919: Q9SQK3
DP02961: Q9SR19
DP02962: Q9SN68
DP02969: O80837
DP02979: Q56WD9
DP03093: Q9SSN3
DP03096: O04147
DP03110: Q9FIX2
DP03136: F4IED2
DP03137: Q9LUA9
DP03138: Q8GTS2
DP03139: Q4VP08
DP03263: O80358
DP03265: O48963
DP03266: Q9M658
DP03269: Q9C552
DP03270: Q00958
DP03283: O80452
DP03285: Q8H1D4
DP03647: Q9M2T2
DP03648: Q9SL42
DP03651: Q9MBH1
DP03656: Q9SN73
DP03657: Q9SSA5
DP03674: Q9S7A9
DP00613: Q22472
DP01113: D0PV95
DP01313: Q9N4U5
DP01436: P54936
DP01558: Q9XTY3
DP02377: Q9GRZ3
DP02378: Q09260
DP02982: O01479
DP02984: P09446
DP02988: P34704
DP02989: Q03611
DP02990: Q9U489
DP02999: P34808
DP03045: P30429-2
DP03047: O62301
DP03048: Q9XWJ1
DP03049: Q18235
DP03054: P91870
DP03068: P24348
DP03090: Q20363
DP03102: O44326
DP03105: Q967F4
DP03106: P34369
DP03107: Q23229
DP03218: O76463
DP03239: P52874
DP03317: O16299
DP03320: P46580
DP03335: P42573
DP03472: Q09535
DP00081: P51123
DP00269: Q24298
DP00328: Q08605
DP00346: P07140
DP00594: P49869
DP00721: Q8IRG6
DP00811: Q9V452
DP01250: P02283
DP01287: Q9VZU1
DP01433: P04052
DP01494: Q9VMA3
DP01495: P08510
DP01546: P84051
DP01569: P34021-2
DP01605: P19339
DP01749: P51023
DP01870: P84040
DP02312: Q8T9B6
DP02400: P48598
DP02460: Q23985
DP02556: P09077
DP02557: P07548
DP02623: P42003
DP02662: Q9VXJ0
DP02718: Q8ST83
DP02763: Q9VI75
DP02828: Q9W058
DP02891: Q9V727
DP03066: O16043
DP03481: P10674
DP03486: P05031
DP03708: Q8IGP5
DP03721: Q9W1M7
DP00043: P02929
DP00088: P0ABI8
DP00089: P0ABJ1
DP00107: P69924
DP00140: P0A7L8
DP00147: P0A7U3
DP00161: P77173
DP00252: P0A877
DP00299: P0AE70
DP00337: P06968
DP00349: P06709
DP00407: P07363
DP00422: P0A6R3
DP00427: P0AFG8
DP00578: P0AG16
DP00600: P60723
DP00626: P0AG11
DP00766: P0A9K9
DP00896: P10121
DP00928: P62552
DP00970: P0ABD8
DP00989: P0ACX9
DP00991: P0AAC0
DP01050: P0A6X3
DP01339: P0A903
DP01488: P69346
DP01496: P0AFG0
DP01650: P0A7K2
DP01714: P0A8H8
DP01716: P0AD49
DP01729: P69490
DP01735: P80644
DP01881: P0C077
DP01965: P0CE48
DP01981: P76407
DP02127: P0AG30
DP02134: P0ABS5
DP02169: P37028
DP02201: P0A9A6
DP02271: P29131
DP02484: P0AD27
DP02541: P0ACN7
DP02548: P0AES9
DP02663: P0A9Q9
DP02700: P0A8S9
DP02715: P00452
DP02716: P0A873
DP02750: P17109
DP02760: P76216
DP02787: P45523
DP02827: P22523
DP02863: P62558
DP02923: P33128
DP02950: P0C079
DP02985: P0A6Y8
DP03078: P76045
DP03091: P0AG86
DP03193: P16869
DP03213: P69411
DP03261: P75966
DP03315: P0ADC1
DP03327: P05055
DP03330: P0A705
DP03331: P0A8N3
DP03336: P12996
DP03337: P0A9H7
DP03341: P0A9D4
DP03406: P0A7G2
DP03430: P0AC88
DP03495: P63883
DP03500: P0AFC7
DP03501: P0AFD1
DP03502: P0AFD6
DP03504: P0AFC3
DP03662: P0AB71
DP03852: P0ABK7
DP00029: Q07731
DP00031: P13255
DP00049: P70475
DP00063: P49799
DP00071: P23441
DP00094: P04177
DP00122: P15146
DP00155: P32851
DP00225: Q05140
DP00279: P08523
DP00449: P53563
DP00458: P37727
DP00463: Q9Z0U4
DP00620: Q68FT9
DP00622: P63045
DP00730: P02631
DP01127: Q8VHK2
DP01139: A0A0G2JXC5
DP01141: P70604
DP01176: P08033
DP01499: Q9JI51
DP01501: G3V7P1
DP01555: Q9EPU7
DP01557: P27682
DP01850: Q9JK66
DP01937: Q9EPH0
DP01994: P27321
DP01996: Q07009
DP02138: P63159
DP02422: O35254
DP02429: Q9WTY2
DP02461: P17105
DP02535: Q8R4T5
DP02610: P22449
DP02646: P23457
DP02653: P61765
DP02743: P97675
DP02887: P62944
DP02910: P28023
DP02980: Q4V8K1
DP03052: Q06486
DP03080: Q9Z214
DP03129: O08679
DP03346: P63090
DP03354: P63144
DP03507: Q9ERC1
DP00009: P32774
DP00020: P11938
DP00076: P06786
DP00082: P39935
DP00113: P31109
DP00135: P10961
DP00163: Q03768
DP00164: P05318
DP00179: P01094
DP00222: P32499
DP00398: P07342
DP00423: P53551
DP00487: P09938
DP00625: P45976
DP00631: P38634
DP00687: P08067
DP00771: P20435
DP00788: P38801
DP00818: P40422
DP00853: P00127
DP00872: P80428
DP00884: P50106
DP00900: Q04660
DP00994: P39015
DP01014: O94742
DP01075: P20676
DP01076: Q02629
DP01077: P14907
DP01079: P40517
DP01135: P40019
DP01185: P46669
DP01196: P48439
DP01237: P36100
DP01320: P36152
DP01392: P53330
DP01471: P36118
DP01502: P33328
DP01503: P32867
DP01513: P53378
DP01515: P25344
DP01516: Q06810
DP01559: Q04964
DP01584: P19880
DP01593: P21374
DP01604: Q12483
DP01623: Q03834
DP01628: P14736
DP01631: P07276
DP01732: Q06628
DP01744: Q07528
DP01775: P53632
DP01825: P25644
DP01840: P38968
DP01867: P47047
DP01890: Q07930
DP01978: Q02554
DP02033: P32504
DP02050: P41814
DP02055: P33322
DP02073: P33411
DP02144: P32337
DP02145: P47054
DP02158: P36161
DP02159: P32566
DP02193: P21734
DP02249: P38862
DP02295: Q05471
DP02324: P53865
DP02326: Q05776
DP02355: P36080
DP02395: P35201
DP02448: Q03707
DP02464: Q12476
DP02466: Q12432
DP02476: P36106
DP02481: P46674
DP02513: Q05022
DP02519: Q01080
DP02527: P04050
DP02544: Q04410
DP02562: P10081
DP02589: Q05080
DP02671: P38111
DP02721: P32357
DP02722: P33334
DP02736: Q04049
DP02751: Q03653
DP02752: P46951
DP02767: P15442
DP02769: P06782
DP02784: P16892
DP02808: P53927
DP02826: P40344
DP02847: P47110
DP02848: P15436
DP02908: P53853
DP02917: Q02521
DP03008: P53104
DP03494: Q04087
DP03496: P22515
DP03506: P33309
DP03591: P38238
DP03596: P25368
DP03597: P02994
DP03621: P04807
DP03665: P33734
DP03684: P40458
DP03685: P38428
DP03715: Q02948
DP03716: P22219
DP03717: P22543
