DP00004	P49913
DP03261	P75966
DP03315	P0ADC1
DP03316	P06149
DP03327	P05055
DP03329	P0AG67
DP03341	P0A9D4
DP03355	P0ABJ3
DP03388	P0AB38
DP03406	P0A7G2
DP03430	P0AC88
DP03438	P32131
DP03440	P04968
DP03449	P10902
DP03458	P0DMC7
DP03495	P63883
DP03502	P0AFD6
DP03503	P0AFE0
DP03504	P0AFC3
DP03631	P0A9J4
DP03662	P0AB71
DP03663	P0A9I5
DP00029	Q07731
DP00055	P10688
DP00068	P60881
DP00071	P23441
DP00094	P04177
DP00155	P32851
DP00225	Q05140
DP00251	O88339
DP00278	P08050
DP00279	P08523
DP00458	P37727
DP00490	O88900
DP00527	P02783
DP00940	Q62627
DP01083	Q7TP21
DP01127	Q8VHK2
DP01141	P70604
DP01152	Q9JK11
DP01176	P08033
DP01202	O55000
DP01499	Q9JI51
DP01521	Q5RJL0
DP01555	Q9EPU7
DP01850	Q9JK66
DP01851	P10686
DP01937	Q9EPH0
DP01994	P27321
DP01996	Q07009
DP02138	P63159
DP02429	Q9WTY2
DP02461	P17105
DP02535	Q8R4T5
DP02610	P22449
DP02617	P21575
DP02624	P04775
DP02739	P45352
DP02741	P09951
DP02910	P28023
DP02980	Q4V8K1
DP02986	P63018
DP03052	Q06486
DP03065	P51400
DP03080	Q9Z214
DP03227	P15205
DP03347	P10824
DP03477	Q5GH54
DP00009	P32774
DP00076	P06786
DP00082	P39935
DP00083	P03069
DP00104	P32773
DP00113	P31109
DP00179	P01094
DP00222	P32499
DP00256	P40316
DP00277	Q12287
DP00398	P07342
DP00423	P53551
DP00475	Q6Q547
DP00482	Q08826
DP00487	P09938
DP00488	P49723
DP00533	P06701
DP00557	Q00955
DP00618	P53954
DP00625	P45976
DP00631	P38634
DP00687	P08067
DP00705	P22943
DP00771	P20435
DP00778	P46670
DP00788	P38801
DP00853	P00127
DP00872	P80428
DP00884	P50106
DP00994	P39015
DP00995	P01097
DP01075	P20676
DP01076	Q02629
DP01078	P40477
DP01135	P40019
DP01136	P22470
DP01182	P22216
DP01185	P46669
DP01187	P34087
DP01195	P39007
DP01237	P36100
DP01243	P25638
DP01330	P32639
DP01401	P47093
DP01402	Q06406
DP01430	Q03071
DP01502	P33328
DP01503	P32867
DP01513	P53378
DP01515	P25344
DP01516	Q06810
DP01579	P34233
DP01584	P19880
DP01599	P47142
DP01604	Q12483
DP01611	Q06696
DP01623	Q03834
DP01628	P14736
DP01629	P32628
DP01631	P07276
DP01732	Q06628
DP01825	P25644
DP01840	P38968
DP01978	Q02554
DP02033	P32504
DP02050	P41814
DP02055	P33322
DP02073	P33411
DP02097	P27472
DP02132	P04386
DP02145	P47054
DP02157	P35729
DP02193	P21734
DP02195	P53136
DP02249	P38862
DP02295	Q05471
DP02325	O60200
DP02326	Q05776
DP02395	P35201
DP02448	Q03707
DP02464	Q12476
DP02470	Q12495
DP02474	Q12000
DP02476	P36106
DP02480	Q12102
DP02513	Q05022
DP02519	Q01080
DP02527	P04050
DP02562	P10081
DP02589	Q05080
DP02721	P32357
DP02722	P33334
DP02752	P46951
DP02768	P09950
DP02769	P06782
DP02784	P16892
DP02848	P15436
DP02917	Q02521
DP03154	P35207
DP03226	P30771
DP03374	P02400
DP03464	Q04195
DP03494	Q04087
DP03597	P02994
DP03632	P49954
DP03665	P33734
DP03685	P38428
DP03689	P07250
DP03714	Q12142
DP03715	Q02948
DP03718	Q05919
