DP00004	P49913
DP02985	P0A6Y8
DP03032	P76063
DP03060	P60340
DP03076	P0A910
DP03078	P76045
DP03213	P69411
DP03241	P0ABH9
DP03261	P75966
DP03289	P0ACG8
DP03327	P05055
DP03330	P0A705
DP03336	P12996
DP03337	P0A9H7
DP03355	P0ABJ3
DP03406	P0A7G2
DP03430	P0AC88
DP03438	P32131
DP03440	P04968
DP03458	P0DMC7
DP03502	P0AFD6
DP03503	P0AFE0
DP03504	P0AFC3
DP03662	P0AB71
DP03852	P0ABK7
DP03853	P28307
DP00049	P70475
DP00063	P49799
DP00068	P60881
DP00094	P04177
DP00136	P15865
DP00155	P32851
DP00225	Q05140
DP00278	P08050
DP00455	P84092
DP00463	Q9Z0U4
DP00490	O88900
DP00527	P02783
DP00620	Q68FT9
DP00622	P63045
DP00730	P02631
DP00940	Q62627
DP01139	A0A0G2JXC5
DP01141	P70604
DP01152	Q9JK11
DP01202	O55000
DP01499	Q9JI51
DP01501	G3V7P1
DP01521	Q5RJL0
DP01850	Q9JK66
DP01851	P10686
DP01887	P08592
DP01937	Q9EPH0
DP01958	Q63450
DP01996	Q07009
DP02535	Q8R4T5
DP02617	P21575
DP02624	P04775
DP02646	P23457
DP02653	P61765
DP02657	O88483
DP02741	P09951
DP02743	P97675
DP02793	Q63716
DP02980	Q4V8K1
DP02986	P63018
DP03052	Q06486
DP03065	P51400
DP03227	P15205
DP03354	P63144
DP03477	Q5GH54
DP03492	Q8R426-2
DP00020	P11938
DP00077	P07248
DP00128	P40357
DP00135	P10961
DP00163	Q03768
DP00164	P05318
DP00179	P01094
DP00222	P32499
DP00256	P40316
DP00277	Q12287
DP00398	P07342
DP00423	P53551
DP00432	P11632
DP00475	Q6Q547
DP00482	Q08826
DP00488	P49723
DP00625	P45976
DP00631	P38634
DP00687	P08067
DP00778	P46670
DP00788	P38801
DP00835	Q03337
DP00853	P00127
DP00872	P80428
DP00874	Q12406
DP00884	P50106
DP00900	Q04660
DP00958	P46984
DP00994	P39015
DP00995	P01097
DP01014	O94742
DP01075	P20676
DP01079	P40517
DP01135	P40019
DP01140	P38293
DP01185	P46669
DP01196	P48439
DP01261	P53905
DP01330	P32639
DP01392	P53330
DP01401	P47093
DP01430	Q03071
DP01471	P36118
DP01502	P33328
DP01504	P39926
DP01513	P53378
DP01538	P04147
DP01579	P34233
DP01584	P19880
DP01593	P21374
DP01604	Q12483
DP01606	Q06208
DP01607	P29539
DP01623	Q03834
DP01628	P14736
DP01638	P32776
DP01732	Q06628
DP01744	Q07528
DP01775	P53632
DP01825	P25644
DP01867	P47047
DP01978	Q02554
DP02055	P33322
DP02097	P27472
DP02122	Q02199
DP02124	Q03281
DP02144	P32337
DP02158	P36161
DP02193	P21734
DP02227	Q02821
DP02264	Q12306
DP02295	Q05471
DP02325	O60200
DP02326	Q05776
DP02355	P36080
DP02397	P11746
DP02474	Q12000
DP02476	P36106
DP02480	Q12102
DP02481	P46674
DP02513	Q05022
DP02527	P04050
DP02589	Q05080
DP02671	P38111
DP02722	P33334
DP02736	Q04049
DP02751	Q03653
DP02761	P25299
DP02768	P09950
DP02769	P06782
DP02809	P53193
DP02848	P15436
DP02908	P53853
DP02917	Q02521
DP03008	P53104
DP03374	P02400
DP03464	Q04195
DP03496	P22515
DP03548	P05453
DP03591	P38238
DP03595	P53254
DP03596	P25368
DP03621	P04807
DP03632	P49954
DP03677	P35193
DP03684	P40458
DP03685	P38428
DP03715	Q02948
DP03716	P22219
DP03717	P22543
DP03718	Q05919
